tempo,erro
376330, -0.000152675
376340, -0.000547784
376350, -0.000649879
376360, -0.00036178
376370, 0.00086552
376380, 0.00201595
376390, 0.00323355
376400, 0.00326749
376410, 0.00368894
376420, 0.00391468
376430, 0.00331651
376440, 0.00357884
376450, 0.00371366
376460, 0.0030894
376470, 0.0026134
376480, 0.00260594
376490, 0.00313313
376500, 0.00167089
376510, -0.000292563
376520, -0.0014091
376530, 0.00129212
376540, 0.00285292
376550, 0.0033278
376560, 0.00286506
376570, 0.00121596
376580, -0.00153374
376590, 0.00103195
376600, 0.00260852
376610, 0.00246018
376620, 0.00016231
376630, 0.000392988
376640, 0.00263179
376650, 0.00057252
376660, 0.000109724
376670, 0.00226019
376680, 0.000929913
376690, -0.000562705
376700, 0.002345
376710, 0.00249352
376720, 4.62319e-05
376730, 9.53014e-05
376740, 0.00242787
376750, 0.00255196
376760, -1.50569e-05
376770, 0.0015522
376780, 0.00302075
376790, 0.00234516
376800, 0.000287695
376810, -0.000320251
376820, 0.00171431
376830, 0.00257339
376840, 0.00273991
376850, 0.00226684
376860, 0.0018645
376870, 0.00145664
376880, 0.000827882
376890, -0.000611318
